Geo_ID,State,% Households Without Computer,% Smartphone-Only Households,% Households with Broadband,% Households Using Internet at Home,% Without High School Diploma,% With Bachelor's or Higher,% School-Age (5–17) No Internet,% School-Age (5–17) Not Enrolled,Median Household Income,% Below Poverty Line,Unemployment Rate (%),% With Public Assistance,state_id
0400000US01,Alabama,7.46,14.54,85.62,84.59,11.87,27.76,6.76,82.97,62027,15.63,4.82,1.67,AL
0400000US02,Alaska,3.41,9.6,90.64,90.22,6.53,31.24,5.26,81.9,89336,10.18,5.75,6.09,AK
0400000US04,Arizona,4.1,8.27,90.37,89.79,10.91,32.61,5.97,82.85,76872,12.76,5.17,2.11,AZ
0400000US05,Arkansas,7.4,16.02,84.71,83.88,11.44,25.11,7.4,82.53,58773,16.02,5.09,1.88,AR
0400000US06,California,3.61,7.67,92.51,91.87,15.4,36.5,3.85,82.34,96334,11.97,6.42,3.84,CA
0400000US08,Colorado,3.19,6.22,92.77,92.21,7.24,44.73,3.32,83.26,92470,9.38,4.49,2.48,CO
0400000US09,Connecticut,5.18,7.7,91.13,90.32,8.67,41.94,2.88,83.44,93760,10.03,5.65,2.93,CT
0400000US10,Delaware,4.43,8.45,91.38,90.63,8.61,35.28,4.58,84.01,82855,10.73,5.05,2.46,DE
0400000US12,Florida,4.02,8.95,90.24,89.59,10.37,33.21,5.05,84.86,71711,12.62,4.81,2.4,FL
0400000US13,Georgia,4.97,9.65,89.4,88.59,11.05,34.2,5.95,81.41,74664,13.48,5.12,1.89,GA
0400000US15,Hawaii,4.56,7.75,91.04,90.4,7.1,35.47,4.07,84.66,98317,9.97,5.03,4.17,HI
0400000US16,Idaho,4.09,7.43,91.03,90.42,8.32,31.18,3.3,80.78,74636,10.64,3.68,2.96,ID
0400000US17,Illinois,5.59,9.28,89.4,88.58,9.74,37.19,4.24,82.7,81702,11.72,5.8,2.65,IL
0400000US18,Indiana,6.35,10.94,88.31,87.45,9.77,28.8,5.94,82.05,70051,12.2,4.3,1.88,IN
0400000US19,Iowa,6.29,10.16,87.55,86.8,6.78,30.86,4.99,82.26,73147,10.99,3.63,2.09,IA
0400000US20,Kansas,4.98,10.05,89.34,88.54,8.1,35.16,4.56,81.3,72639,11.52,3.91,1.77,KS
